Symbol,Full Name,GICS Sector,GICS Sub-Industry,environmentScore,socialScore,governanceScore,totalEsg,highestControversy,percentile,ratingYear,ratingMonth,marketCap,beta,overallRisk
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,3.31,14.08,7.85,25.23,3.0,49.93,2023.0,9.0,727962550272,2.29,10
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,14.02,12.39,9.51,35.92,4.0,85.46,2023.0,9.0,22008092672,0.777,10
TT,Trane Technologies,Industrials,Building Products,4.39,5.71,5.11,15.2,2.0,11.78,2023.0,9.0,84535984128,1.212,5
TXN,Texas Instruments,Information Technology,Semiconductors,7.76,5.96,6.93,20.65,2.0,30.44,2023.0,9.0,183878336512,0.976,8
TXT,Textron,Industrials,Aerospace & Defense,10.92,16.08,6.61,33.61,2.0,80.08,2023.0,9.0,16617225216,1.231,4
UAL,United Airlines Holdings,Industrials,Passenger Airlines,10.78,12.79,5.04,28.61,2.0,63.55,2023.0,9.0,17309820928,1.434,9
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,3.72,3.91,6.29,13.92,1.0,8.57,2023.0,9.0,17647726592,0.841,9
UHS,Universal Health Services,Health Care,Health Care Facilities,3.7,20.68,8.6,32.98,3.0,78.43,2023.0,9.0,15676926976,1.282,10
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,4.08,7.25,4.28,15.61,2.0,12.91,2023.0,9.0,18704535552,1.312,3
UNH,UnitedHealth Group,Health Care,Managed Health Care,0.03,9.67,5.59,15.3,3.0,12.06,2023.0,9.0,533698674688,0.595,2
UNP,Union Pacific Corporation,Industrials,Rail Transportation,7.3,10.55,5.6,23.45,2.0,42.06,2023.0,9.0,154462158848,1.053,1
UPS,United Parcel Service,Industrials,Air Freight & Logistics,4.17,8.91,5.49,18.57,2.0,22.59,2023.0,9.0,110421450752,0.977,9
URI,United Rentals,Industrials,Trading Companies & Distributors,5.32,6.13,5.42,16.86,1.0,16.73,2023.0,9.0,51007975424,1.681,1
USB,U.S. Bank,Financials,Diversified Banks,1.75,15.5,13.01,30.26,3.0,69.91,2023.0,9.0,69739225088,1.054,1
V,Visa Inc.,Financials,Transaction & Payment Processing Services,1.81,8.22,6.65,16.68,3.0,16.22,2023.0,9.0,567340761088,0.963,3
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,20.15,7.42,4.99,32.56,2.0,77.18,2023.0,9.0,43507605504,1.381,5
VMC,Vulcan Materials Company,Materials,Construction Materials,13.42,6.81,9.05,29.28,2.0,66.1,2023.0,9.0,32370546688,0.815,6
VRSK,Verisk,Industrials,Research & Consulting Services,0.05,12.49,4.98,17.53,1.0,18.83,2023.0,9.0,38368903168,0.863,5
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,4.74,10.77,5.79,21.3,1.0,33.12,2023.0,9.0,17847136256,0.903,4
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,0.75,15.4,6.57,22.72,2.0,38.93,2023.0,9.0,126323048448,0.406,8
VTR,Ventas,Real Estate,Health Care REITs,3.42,3.89,5.56,12.86,0.0,6.43,2023.0,9.0,26731040768,1.388,3
VZ,Verizon,Communication Services,Integrated Telecommunication Services,3.74,9.59,5.39,18.73,3.0,23.13,2023.0,9.0,185555648512,0.407,1
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,5.36,11.99,5.98,23.33,2.0,41.6,2023.0,9.0,30504617984,1.273,5
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,1.35,8.19,5.09,14.62,0.0,10.29,2023.0,9.0,19528284160,0.955,7
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,1.79,9.29,5.18,16.25,3.0,14.82,2023.0,9.0,7821272064,0.683,7
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",1.48,3.91,6.05,11.43,2.0,4.2,2023.0,9.0,22630051840,1.38,8
WEC,WEC Energy Group,Utilities,Electric Utilities,13.36,8.96,5.13,27.46,1.0,58.73,2023.0,9.0,30387875840,0.435,4
WELL,Welltower,Real Estate,Health Care REITs,4.24,3.49,5.5,13.23,1.0,7.15,2023.0,9.0,78689722368,1.201,3
WFC,Wells Fargo,Financials,Diversified Banks,2.05,14.75,19.43,36.24,5.0,86.5,2023.0,9.0,185539510272,1.161,5
WM,Waste Management,Industrials,Environmental & Facilities Services,8.09,5.24,3.32,16.65,2.0,16.09,2023.0,9.0,83601956864,0.753,1
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,8.72,10.13,2.96,21.82,2.0,35.38,2023.0,9.0,55497883648,1.079,3
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,5.86,12.36,7.05,25.26,3.0,50.05,2023.0,9.0,631806427136,0.515,3
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,1.97,7.95,11.91,21.83,1.0,35.44,2023.0,9.0,22357321728,0.623,9
WTW,Willis Towers Watson,Financials,Insurance Brokers,0.07,7.83,10.76,18.66,2.0,22.89,2023.0,9.0,29749815296,0.745,7
WY,Weyerhaeuser,Real Estate,Timber REITs,9.05,4.18,3.45,16.68,2.0,16.23,2023.0,9.0,24183224320,1.418,3
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,3.37,11.75,10.58,25.7,2.0,52.0,2023.0,9.0,8879360000,1.799,8
XEL,Xcel Energy,Utilities,Multi-Utilities,12.7,9.26,4.49,26.45,2.0,54.78,2023.0,9.0,35992227840,0.397,2
XOM,ExxonMobil,Energy,Integrated Oil & Gas,23.11,10.01,8.48,41.6,3.0,93.17,2023.0,9.0,507282325504,0.878,7
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,4.27,8.66,5.19,18.13,1.0,20.92,2023.0,9.0,32338771968,1.037,3
YUM,Yum! Brands,Consumer Discretionary,Restaurants,4.53,11.45,4.12,20.1,2.0,28.34,2023.0,9.0,37833572352,1.081,2
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,3.6,14.52,7.89,26.02,2.0,53.22,2023.0,9.0,21635987456,1.026,2
ZTS,Zoetis,Health Care,Pharmaceuticals,3.24,6.81,8.72,18.77,2.0,23.36,2023.0,9.0,88666619904,0.883,3
